Send,SORT,Sender,Recipient,time,SenderLocation,LATITUDE,LONGITUDE,RecLocation,RecLat,RecLong,URL,
Whitman,584,Whitman; Walt,Rossetti; William M.,1867-12-03,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/pri.00013.html,
Not,585,McWatters; George S.,Whitman; Walt,1867-12-06,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01804.html,
Not,586,Rossetti; William Michael,Whitman; Walt,1867-12-08,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,,
Not,587,Whitman; Louisa Van Velsor,Whitman; Walt,1867-12-15,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00509.html,
Not,588,Rossetti; William Michael,Whitman; Walt,1867-12-16,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01878.html,
Not,589,Whitman; Louisa Van Velsor,Whitman; Walt,1867-12-18,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,,
Whitman,590,Whitman; Walt,Tracy; Gilbert A.,1867-12-19,"Washington, DC",38.907192,-77.036871,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/njh.00003.html,
Not,591,Gillette; Dr. F. B. (an admirer),Whitman; Walt,1867-12-23,,,,"Washington, DC",38.907192,-77.036871,,
Not,592,Whitman; Louisa Van Velsor,Whitman; Walt,1867-12-26,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00511.html,
Not,593,George Routledge & Sons (publisher),Whitman; Walt,1867-12-28,"Manhattan, NY",40.78306,-73.971249,"Washington, DC",38.907192,-77.036871,,
Whitman,594,Whitman; Walt,Routledge & Sons,1867-12-30,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01567.html,
Whitman,595,Whitman; Walt,Church; F. P. and W. C.,1867-12-30,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/prc.00017.html,
Not,596,Alcott; Amos Bronson,Whitman; Walt,1868-01-07,,,,"Washington, DC",38.907192,-77.036871,,
Whitman,597,Whitman; Walt,Routledge; Edmund,1868-01-17,"Washington, DC",38.907192,-77.036871,"Manhattan, NY",40.78306,-73.971249,https://whitmanarchive.org/biography/correspondence/tei/loc.01569.html,
Not,598,Whitman; Thomas Jefferson,Whitman; Walt,1868-01-20,"St. Louis, MO",38.627003,-90.199404,"Washington, DC",38.907192,-77.036871,,
Not,599,Millis; Jr. William H.,Whitman; Walt,1868-01-20,"Bridgeville, DE",38.742614,-75.604371,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/yal.00126.html,
Whitman,600,Whitman; Walt,Whitman; Louisa Van Velsor,1868-01-26,"Washington, DC",38.907192,-77.036871,"Brooklyn, NY",40.678178,-73.944158,https://whitmanarchive.org/biography/correspondence/tei/nyp.00278.html,
Not,601,Conway; Moncure D.,Whitman; Walt,1868-02-01,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,,
Not,602,Hotten; John Camden,Whitman; Walt,1868-02-05,"London, GBR",51.507351,-0.127758,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/loc.01731.html,
Not,603,Whitman; Louisa Van Velsor,Whitman; Walt,1868-02-12,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00512.html,
Not,604,Sarrazin; Gabriel,Whitman; Walt,1868-02-14,,,,"Washington, DC",38.907192,-77.036871,,
Whitman,605,Whitman; Walt,Conway; Moncure D.,1868-02-17,"Washington, DC",38.907192,-77.036871,"London, GBR",51.507351,-0.127758,https://whitmanarchive.org/biography/correspondence/tei/col.00001.html,
Not,606,Whitman; Louisa Van Velsor,Whitman; Walt,1868-02-17,"Brooklyn, NY",40.678178,-73.944158,"Washington, DC",38.907192,-77.036871,https://whitmanarchive.org/biography/correspondence/tei/duk.00513.html,
